Name,Link,Image,Price,Category,Store
Xiaomi Redmi Note 14 Pro 8/256 Gb,https://mediapark.uz/products/view/smartfon-xiaomi-redmi-note-14-pro-06-8-128gb-purple-28430,https://cdn.mediapark.uz/imgs/600x600_bedfdf3d-2cad-4f6f-bf4f-d28d555bfded_Монтажная-область-1-(2).webp,4095000,Smartfonlar,Mediapark
Xiaomi Redmi Note 14 6/128 Gb,https://mediapark.uz/products/view/smartfon-xiaomi-redmi-note-14-07n-6-128gb-green-28422,https://cdn.mediapark.uz/imgs/600x600_a59de888-acd8-4209-8b6c-7b3474870ea6_Монтажная-область-1.webp,2457000,Smartfonlar,Mediapark
Xiaomi Redmi Note 14 6/128 Gb,https://mediapark.uz/products/view/smartfon-xiaomi-redmi-note-14-07n-6-128gb-blue-28420,https://cdn.mediapark.uz/imgs/600x600_4c0c1811-3c60-48b3-bf60-41605a9ed9f2_Монтажная-область-1.webp,2457000,Smartfonlar,Mediapark
Xiaomi Redmi Note 14 Pro 8/256 Gb,https://mediapark.uz/products/view/smartfon-xiaomi-redmi-note-14-pro-06-28417,https://cdn.mediapark.uz/imgs/600x600_d97f5c44-fc0a-47d8-a601-d8f77669619b_Монтажная-область-1.webp,4095000,Smartfonlar,Mediapark
Xiaomi Redmi Note 14 6/128 Gb,https://mediapark.uz/products/view/smartfon-xiaomi-redmi-note-14-07n-28415,https://cdn.mediapark.uz/imgs/600x600_e1a6e662-9e04-49e6-9b76-de8805eed869_Монтажная-область-1.webp,2457000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 256 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-256gb-teal-27444,https://cdn.mediapark.uz/imgs/600x600_107d8e0f-51aa-4223-b1ad-9bfaaa7689ca_Artboard-1.webp,19200000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 256 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-256gb-ultramarine-27443,https://cdn.mediapark.uz/imgs/600x600_b832cbab-b475-4dd8-8b8a-234821ea72d8_Artboard-1.webp,19200000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 256 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-256gb-pink-27442,https://cdn.mediapark.uz/imgs/600x600_7e8c16d4-cbb2-4e6a-8ebd-d9cfafa7bcc3_Artboard-1.webp,19200000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 256 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-256gb-white-27441,https://cdn.mediapark.uz/imgs/600x600_cc1d77a1-3059-43de-8a03-283e49996583_Artboard-1.webp,19200000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 256 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-256gb-black-27440,https://cdn.mediapark.uz/imgs/600x600_e5abd020-4df4-4af8-a039-aa4dfcd9e289_Artboard-1.webp,19200000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 128 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-128gb-teal-27439,https://cdn.mediapark.uz/imgs/600x600_4c5747df-40bc-4b38-85ea-f75ca994c5bb_Artboard-1.webp,17300000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 128 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-128gb-ultramarine-27438,https://cdn.mediapark.uz/imgs/600x600_6cb7576f-d1b0-47dc-baec-e4c7b985085d_Artboard-1.webp,17300000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 128 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-128gb-pink-27437,https://cdn.mediapark.uz/imgs/600x600_32cb3a9c-f327-4507-98f2-6b2920240bc3_Artboard-1.webp,17300000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 128 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-128gb-white-27436,https://cdn.mediapark.uz/imgs/600x600_35153626-93d6-42f1-90e5-13df025a7c8f_Artboard-1.webp,17300000,Smartfonlar,Mediapark
Apple Iphone 16 Plus 128 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-plus-128gb-black-27435,https://cdn.mediapark.uz/imgs/600x600_65c11259-0e9d-41c8-8cb2-6df43dbbffb9_Artboard-1.webp,17300000,Smartfonlar,Mediapark
Apple Iphone 16 512 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-512gb-ultramarine-27433,https://cdn.mediapark.uz/imgs/600x600_f63d762a-b7a0-4585-91c2-1b776b808ed6_Artboard-1.webp,21100000,Smartfonlar,Mediapark
Apple Iphone 16 512 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-512gb-teal-27434,https://cdn.mediapark.uz/imgs/600x600_0598dd56-f211-47f7-9469-78c5a887f736_Artboard-1.webp,21100000,Smartfonlar,Mediapark
Apple Iphone 16 512 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-512gb-pink-27432,https://cdn.mediapark.uz/imgs/600x600_55bb9557-4639-44a0-b6b6-9fa82093dd57_Artboard-1.webp,21100000,Smartfonlar,Mediapark
Apple Iphone 16 512 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-512gb-white-27431,https://cdn.mediapark.uz/imgs/600x600_72cb1517-b3ab-4c66-a957-5407d17c0c88_Artboard-1.webp,21100000,Smartfonlar,Mediapark
Apple Iphone 16 512 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-512gb-black-27430,https://cdn.mediapark.uz/imgs/600x600_44e9bc36-4551-4f05-a81d-b24fd8d0db1e_Artboard-1.webp,21100000,Smartfonlar,Mediapark
Apple Iphone 16 256 Gb,https://mediapark.uz/products/view/smartfon-apple-iphone-16-256gb-ultramarine-27428,https://cdn.mediapark.uz/imgs/600x600_369988db-e939-4134-83c1-7fe4a06a598c_Artboard-1.webp,17572000,Smartfonlar,Mediapark
